inningsno,battingteam,playername,playerkey,runs,balls,fours,sixes,sr,howout,opponent,batpos,tournamentkey,matchid,source
2,JNS SUPREMOS (ISDT 8.0),Kanav Hingorani,kanav hingorani,25.0,21.0,3.0,0.0,119.05,c Himanshu R b Shamit D,BD ROYALS (ISDT 8.0),6,zooterisdt8,3816,playwright
2,JNS SUPREMOS (ISDT 8.0),Navratan Bengani,navratan bengani,22.0,16.0,1.0,0.0,137.5,not out,BD ROYALS (ISDT 8.0),7,zooterisdt8,3816,playwright
1,JNS SUPREMOS (ISDT 8.0),Rahul Agarwal,rahul agarwal,24.0,26.0,3.0,0.0,92.31,c Ashwin P b Mahesh B,AVM ARYANS (ISDT 8.0),1,zooterisdt8,3822,playwright
1,JNS SUPREMOS (ISDT 8.0),Jay Kedia,jay kedia,22.0,25.0,0.0,1.0,88.0,c † Amit M b Akshay B,AVM ARYANS (ISDT 8.0),2,zooterisdt8,3822,playwright
1,JNS SUPREMOS (ISDT 8.0),Lavesh Kalsekar,lavesh kalsekar,18.0,15.0,1.0,0.0,120.0,c Prathmesh P b Mahesh B,AVM ARYANS (ISDT 8.0),3,zooterisdt8,3822,playwright
1,JNS SUPREMOS (ISDT 8.0),Navratan Bengani,navratan bengani,33.0,21.0,4.0,0.0,157.14,b Balakrishna S,AVM ARYANS (ISDT 8.0),4,zooterisdt8,3822,playwright
1,JNS SUPREMOS (ISDT 8.0),Sheel Vora,sheel vora,12.0,13.0,1.0,0.0,92.31,b Nishant P,AVM ARYANS (ISDT 8.0),5,zooterisdt8,3822,playwright
1,JNS SUPREMOS (ISDT 8.0),Abhishek Pingley,abhishek pingley,14.0,10.0,2.0,0.0,140.0,not out,AVM ARYANS (ISDT 8.0),6,zooterisdt8,3822,playwright
1,JNS SUPREMOS (ISDT 8.0),Varun Sood,varun sood,7.0,8.0,0.0,0.0,87.5,St Amit M b Balakrishna S,AVM ARYANS (ISDT 8.0),7,zooterisdt8,3822,playwright
1,JNS SUPREMOS (ISDT 8.0),Vishal Merwana,vishal merwana,1.0,2.0,0.0,0.0,50.0,b Balakrishna S,AVM ARYANS (ISDT 8.0),8,zooterisdt8,3822,playwright
1,JNS SUPREMOS (ISDT 8.0),Pratik Chitalia,pratik chitalia,0.0,1.0,0.0,0.0,0.0,c † Vinit A b Jay P,OIS BLASTERS (ISDT 8.0),1,zooterisdt8,3831,playwright
1,JNS SUPREMOS (ISDT 8.0),Rahul Agarwal,rahul agarwal,10.0,12.0,2.0,0.0,83.33,run out ( Kunal . / Rishi P ),OIS BLASTERS (ISDT 8.0),2,zooterisdt8,3831,playwright
1,JNS SUPREMOS (ISDT 8.0),Lavesh Kalsekar,lavesh kalsekar,8.0,9.0,1.0,0.0,88.89,c † Rishi P b Jay P,OIS BLASTERS (ISDT 8.0),3,zooterisdt8,3831,playwright
1,JNS SUPREMOS (ISDT 8.0),Dr. Manaan Gandhi,dr manaan gandhi,51.0,43.0,7.0,0.0,118.6,run out ( Amitraj B ),OIS BLASTERS (ISDT 8.0),4,zooterisdt8,3831,playwright
1,JNS SUPREMOS (ISDT 8.0),Navratan Bengani,navratan bengani,23.0,17.0,2.0,0.0,135.29,c&b Vinod L,OIS BLASTERS (ISDT 8.0),5,zooterisdt8,3831,playwright
