tournamentkey,matchid,source,inningsno,bowlingteam,opponent,bowlername,playerkey,overs,maidens,runsconceded,wickets,econ
zootermt20cb3,3879,playwright,2,JNS SUPREMOS (MT20CB 3.0),SOMAIYA SPORTS ACADEMY (MT20CB 3.0),Vishal .,vishal ,4.0,0.0,33.0,1.0,8.25
zootermt20cb3,3879,playwright,2,JNS SUPREMOS (MT20CB 3.0),SOMAIYA SPORTS ACADEMY (MT20CB 3.0),Pradeep .,pradeep ,3.0,0.0,23.0,0.0,7.67
zootermt20cb3,3879,playwright,2,JNS SUPREMOS (MT20CB 3.0),SOMAIYA SPORTS ACADEMY (MT20CB 3.0),Aditya .,aditya ,2.0,0.0,16.0,0.0,8.0
zootermt20cb3,3879,playwright,2,JNS SUPREMOS (MT20CB 3.0),SOMAIYA SPORTS ACADEMY (MT20CB 3.0),Urvish .,urvish ,1.0,0.0,16.0,0.0,16.0
zootermt20cb3,3879,playwright,2,JNS SUPREMOS (MT20CB 3.0),SOMAIYA SPORTS ACADEMY (MT20CB 3.0),Varun .,varun ,4.0,0.0,39.0,1.0,9.75
zootermt20cb3,3879,playwright,2,JNS SUPREMOS (MT20CB 3.0),SOMAIYA SPORTS ACADEMY (MT20CB 3.0),Pritesh .,pritesh ,2.2,0.0,24.0,1.0,10.29
zootermt20cb3,3879,playwright,2,JNS SUPREMOS (MT20CB 3.0),SOMAIYA SPORTS ACADEMY (MT20CB 3.0),Kanav .,kanav ,2.0,0.0,17.0,0.0,8.5
zootermt20cb3,3879,playwright,2,JNS SUPREMOS (MT20CB 3.0),SOMAIYA SPORTS ACADEMY (MT20CB 3.0),Nitin H,nitin h,1.0,0.0,14.0,0.0,14.0
zootermt20cb3,3985,playwright,1,JNS SUPREMOS (MT20CB 3.0),BOMBAY VIKINGS (MT20CB 3.0),Vishal .,vishal ,1.0,0.0,13.0,0.0,13.0
zootermt20cb3,3985,playwright,1,JNS SUPREMOS (MT20CB 3.0),BOMBAY VIKINGS (MT20CB 3.0),Pradeep .,pradeep ,4.0,0.0,32.0,4.0,8.0
zootermt20cb3,3985,playwright,1,JNS SUPREMOS (MT20CB 3.0),BOMBAY VIKINGS (MT20CB 3.0),Rajan Singh,rajan singh,3.0,0.0,34.0,0.0,11.33
zootermt20cb3,3985,playwright,1,JNS SUPREMOS (MT20CB 3.0),BOMBAY VIKINGS (MT20CB 3.0),Varun .,varun ,4.0,0.0,33.0,0.0,8.25
zootermt20cb3,3985,playwright,1,JNS SUPREMOS (MT20CB 3.0),BOMBAY VIKINGS (MT20CB 3.0),Pritesh .,pritesh ,3.0,0.0,15.0,1.0,5.0
zootermt20cb3,3985,playwright,1,JNS SUPREMOS (MT20CB 3.0),BOMBAY VIKINGS (MT20CB 3.0),Aditya .,aditya ,3.0,0.0,28.0,0.0,9.33
zootermt20cb3,3985,playwright,1,JNS SUPREMOS (MT20CB 3.0),BOMBAY VIKINGS (MT20CB 3.0),Urvish .,urvish ,2.0,0.0,10.0,2.0,5.0
zooterisdt8,3816,playwright,1,JNS SUPREMOS (ISDT 8.0),BD ROYALS (ISDT 8.0),Pradeep Tewani,pradeep tewani,4.0,1.0,32.0,1.0,8.0
zooterisdt8,3816,playwright,1,JNS SUPREMOS (ISDT 8.0),BD ROYALS (ISDT 8.0),Aditya Jain,aditya jain,3.0,0.0,33.0,0.0,11.0
zooterisdt8,3816,playwright,1,JNS SUPREMOS (ISDT 8.0),BD ROYALS (ISDT 8.0),Varun Sood,varun sood,4.0,0.0,22.0,1.0,5.5
zooterisdt8,3816,playwright,1,JNS SUPREMOS (ISDT 8.0),BD ROYALS (ISDT 8.0),Abhishek Pingley,abhishek pingley,4.0,0.0,33.0,1.0,8.25
zooterisdt8,3816,playwright,1,JNS SUPREMOS (ISDT 8.0),BD ROYALS (ISDT 8.0),Pritesh Magodia,pritesh magodia,1.0,0.0,16.0,0.0,16.0
zooterisdt8,3816,playwright,1,JNS SUPREMOS (ISDT 8.0),BD ROYALS (ISDT 8.0),Rahul Agarwal,rahul agarwal,1.0,0.0,17.0,0.0,17.0
zooterisdt8,3816,playwright,1,JNS SUPREMOS (ISDT 8.0),BD ROYALS (ISDT 8.0),Kanav Hingorani,kanav hingorani,3.0,0.0,18.0,0.0,6.0
zooterisdt8,3822,playwright,2,JNS SUPREMOS (ISDT 8.0),AVM ARYANS (ISDT 8.0),Vishal .,vishal ,4.0,0.0,26.0,2.0,6.5
zooterisdt8,3822,playwright,2,JNS SUPREMOS (ISDT 8.0),AVM ARYANS (ISDT 8.0),Pradeep Tewani,pradeep tewani,4.0,0.0,20.0,3.0,5.0
zooterisdt8,3822,playwright,2,JNS SUPREMOS (ISDT 8.0),AVM ARYANS (ISDT 8.0),Varun Sood,varun sood,3.4,1.0,20.0,4.0,5.45
zooterisdt8,3822,playwright,2,JNS SUPREMOS (ISDT 8.0),AVM ARYANS (ISDT 8.0),Pritesh Magodia,pritesh magodia,2.0,0.0,19.0,0.0,9.5
zooterisdt8,3822,playwright,2,JNS SUPREMOS (ISDT 8.0),AVM ARYANS (ISDT 8.0),Aditya Jain,aditya jain,3.0,0.0,26.0,0.0,8.67
zooterisdt8,3822,playwright,2,JNS SUPREMOS (ISDT 8.0),AVM ARYANS (ISDT 8.0),Vishal Merwana,vishal merwana,2.0,0.0,21.0,0.0,10.5
zooterisdt8,3831,playwright,2,JNS SUPREMOS (ISDT 8.0),OIS BLASTERS (ISDT 8.0),Vishal .,vishal ,4.0,0.0,20.0,1.0,5.0
zooterisdt8,3831,playwright,2,JNS SUPREMOS (ISDT 8.0),OIS BLASTERS (ISDT 8.0),Rahul Agarwal,rahul agarwal,4.0,0.0,26.0,0.0,6.5
zooterisdt8,3831,playwright,2,JNS SUPREMOS (ISDT 8.0),OIS BLASTERS (ISDT 8.0),Varun Sood,varun sood,4.0,0.0,22.0,3.0,5.5
zooterisdt8,3831,playwright,2,JNS SUPREMOS (ISDT 8.0),OIS BLASTERS (ISDT 8.0),Abhishek Pingley,abhishek pingley,1.0,0.0,15.0,0.0,15.0
zooterisdt8,3831,playwright,2,JNS SUPREMOS (ISDT 8.0),OIS BLASTERS (ISDT 8.0),Pritesh Magodia,pritesh magodia,4.0,0.0,21.0,3.0,5.25
zooterisdt8,3831,playwright,2,JNS SUPREMOS (ISDT 8.0),OIS BLASTERS (ISDT 8.0),Kanav Hingorani,kanav hingorani,3.0,0.0,25.0,0.0,8.33
zooterisdt8,3933,playwright,2,JNS SUPREMOS (ISDT 8.0),JBCN AVENGERS (ISDT 8.0),Vishal .,vishal ,4.0,0.0,31.0,2.0,7.75
zooterisdt8,3933,playwright,2,JNS SUPREMOS (ISDT 8.0),JBCN AVENGERS (ISDT 8.0),Pradeep Tewani,pradeep tewani,3.1,0.0,19.0,0.0,6.0
zooterisdt8,3933,playwright,2,JNS SUPREMOS (ISDT 8.0),JBCN AVENGERS (ISDT 8.0),Varun Sood,varun sood,4.0,0.0,18.0,2.0,4.5
zooterisdt8,3933,playwright,2,JNS SUPREMOS (ISDT 8.0),JBCN AVENGERS (ISDT 8.0),Pritesh Magodia,pritesh magodia,4.0,0.0,26.0,0.0,6.5
zooterisdt8,3933,playwright,2,JNS SUPREMOS (ISDT 8.0),JBCN AVENGERS (ISDT 8.0),Abhishek Pingley,abhishek pingley,3.0,0.0,41.0,0.0,13.67
zooterisdt8,3933,playwright,2,JNS SUPREMOS (ISDT 8.0),JBCN AVENGERS (ISDT 8.0),Rahul Agarwal,rahul agarwal,1.0,0.0,18.0,0.0,18.0
jfscdpl202526,5418,playwright,1,JNS SUPREMOS,SVKM SUPER STRIKERS,Pradeep Tewani,pradeep tewani,4.0,0.0,43.0,2.0,10.75
